State, Name, Longitude, Latitude, Elevation, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
IL, PALOS PARK 1.3 SW, -87.863, 41.653, 702, M, M, M, M, 0.58, 6.5, 23
IL, OAK PARK 1.0 SW, -87.801, 41.876, 633, M, M, M, M, 0.66, 16.5, 27
IL, ELK GROVE VILLAGE 0.6 ESE, -87.981, 42.004, 699, M, M, M, M, 0.21, 3.3, M
IL, HOMEWOOD 0.1 ESE, -87.659, 41.558, 643, M, M, M, M, 0.44, 12.9, 24
IL, PARK FOREST 0.8 NNE, -87.681, 41.493, 722, M, M, M, M, M, M, M
IL, OAK PARK 1.3 NNE, -87.782, 41.906, 633, M, M, M, M, 0.77, 17.2, M
IL, COUNTRYSIDE 0.8 ENE, -87.862, 41.782, 653, M, M, M, M, M, M, M
IL, LINCOLNWOOD 1.8 E, -87.698, 42.002, 604, M, M, M, M, 0.96, 17.1, 29
IL, LA GRANGE PARK 0.7 SSW, -87.876, 41.823, 659, M, M, M, M, 0.38, 7.0, 18
IL, OAK LAWN 1.1 N, -87.756, 41.730, 627, M, M, M, M, 0.85A, M, M
IL, OAK PARK 1.5 S, -87.793, 41.866, 621, M, M, M, M, 0.75, 15.5, 26
IL, OAK LAWN 0.5 SSW, -87.754, 41.708, 597, M, M, M, M, 0.80, 14.5, 30
IL, CHICAGO RIDGE 0.2 WSW, -87.782, 41.702, 596, M, M, M, M, 0.75, 12.0, M
IL, PALOS PARK 3.6 WNW, -87.911, 41.677, 714, M, M, M, M, 0.56, 6.5, 14
IL, MARSHALL 4.6 W, -87.774, 39.384, 623, M, M, M, M, M, 4.5, M
IL, HOMER 2.0 N, -87.964, 40.061, 659, M, M, M, M, 0.86, 8.1, 8
IL, BROADLANDS 0.1 SSW, -87.996, 39.907, 682, M, M, M, M, 0.41A, 9.4, 9
IL, HOMER 2.1 NNE, -87.951, 40.061, 661, M, M, M, M, 0.35, M, M
IL, ELMHURST 0.4 SW, -87.948, 41.893, 709, M, M, M, M, 0.41, M, M
IL, BURR RIDGE 1.9 SW, -87.949, 41.732, 724, M, M, M, M, 0.51, 5.3, 19
IL, VILLA PARK 1.0 NW, -87.990, 41.897, 722, M, M, M, M, 0.38, M, M
IL, MANTENO 2.2 SSE, -87.818, 41.223, 675, M, M, M, M, 0.44, M, M
IL, RIVERWOODS 0.4 ENE, -87.888, 42.173, 692, M, M, M, M, 0.50, 5.0, 17
IL, HENNING 3.4 SSE, -87.666, 40.265, 682, M, M, M, M, 1.60, 11.5, 12
IL, DANVILLE 3.4 NNW, -87.640, 40.191, 659, M, M, M, M, M, M, M
IL, DANVILLE 0.6 NW, -87.627, 40.150, 663, M, M, M, M, 0.64, 13.0, M
IL, BEECHER 3.4 SSE, -87.582, 41.305, 722, M, M, M, M, 0.22, M, M
IL, CRETE 2.6 E, -87.566, 41.447, 698, M, M, M, M, 0.51, 9.5, 22
IL, MANHATTAN 0.8 ESE, -87.975, 41.421, 699, M, M, M, M, 0.28, 4.5, 18
IL, MOKENA 1.3 W, -87.901, 41.531, 715, M, M, M, M, M, 8.1, 24
IL, NEW LENOX 1.8 SE, -87.960, 41.500, 701, M, M, M, M, 0.19, 6.0, 24
IL, CRETE 2.6 SSW, -87.630, 41.417, 756, M, M, M, M, 0.72A, M, M
IN, DE MOTTE 5.9 S, -87.200, 41.115, 679, M, M, M, M, 0.25, 6.0, M
IN, DE MOTTE 0.8 NNW, -87.205, 41.210, 650, M, M, M, M, 0.50, 7.0, M
IN, DE MOTTE 1.2 SSW, -87.210, 41.184, 666, M, M, M, M, 0.39, 7.0, M
IN, DE MOTTE 4.1 SW, -87.264, 41.167, 680, M, M, M, M, 0.33, 6.0, M
IN, DYER 1.0 WNW, -87.525, 41.507, 630, M, M, M, M, 0.43, 11.0, 20
IN, CROWN POINT 1.1 N, -87.354, 41.439, 712, M, M, M, M, 0.40, 9.5, 18
IN, ST. JOHN 0.2 WSW, -87.480, 41.446, 700, M, M, M, M, 0.45, 9.8, M
IN, HOBART 1.6 E, -87.236, 41.535, 624, M, M, M, M, 0.54, 10.5, M
IN, MOUNT AYR 1.6 NNE, -87.290, 40.973, 676, M, M, M, M, 0.36, 4.7, M
IN, KENTLAND 0.3 ENE, -87.441, 40.774, 689, M, M, M, M, M, M, M
IN, BROOK 4.2 W, -87.445, 40.867, 666, M, M, M, M, M, M, M
IN, LAKES OF THE FOUR SEASONS 0.5 ESE, -87.213, 41.406, 757, M, M, M, M, 0.12, 9.0, M
IN, HEBRON 1.2 NW, -87.215, 41.332, 699, M, M, M, M, S, M, M
IN, UNIVERSAL 4.2 SW, -87.508, 39.579, 617, M, M, M, M, 0.00, 0.0, M
IL, MANHATTAN 5ENE, -87.910, 41.459, 748, M, M, M, M, 0.36, 5.9, 19
IL, PARK RIDGE 0.5 SSW, -87.846, 42.004, 638, M, M, M, M, 0.57, 7.1, 25
IL, CHRISMAN 3.6 ESE, -87.614, 39.779, 627, M, M, M, M, M, M, M
IL, HOOPESTON 0.8 W, -87.685, 40.466, 709, M, M, M, M, M, M, M
IL, PARK RIDGE 0.7 WNW, -87.856, 42.017, 632, M, M, M, M, 0.42, 7.9, M
IL, WINNETKA 0.8 ESE, -87.729, 42.102, 630, M, M, M, M, 1.06, 14.7, M
IL, NEW LENOX 3.3 E, -87.919, 41.519, 679, M, M, M, M, 0.43, 6.5, 18
IL, MANHATTAN 1.9 SE, -87.962, 41.407, 671, M, M, M, M, M, M, M
IL, ROGERS PARK 1.5 SW, -87.692, 41.996, 595, M, M, M, M, 1.09, 15.0, 27
IN, GARY 4.8 ENE, -87.255, 41.617, 612, M, M, M, M, 0.86, 9.5, M
IL, WATSEKA 6.9 WNW, -87.860, 40.800, 641, M, M, M, M, M, M, M
IN, SCHERERVILLE 1.1 E, -87.427, 41.489, 645, M, M, M, M, 0.42, M, M
IL, DARIEN 0.4 SSE, -87.975, 41.743, 750, M, M, M, M, 0.37, 7.0, 23
IL, ASHKUM 5.6 E, -87.846, 40.878, 620, M, M, M, M, 0.35, 4.0, 14
IL, ELMHURST 2.0 SE, -87.921, 41.875, 694, M, M, M, M, 0.48, 5.5, M
IL, ROGERS PARK 0.6 ESE, -87.670, 42.004, 591, M, M, M, M, 0.81, M, M
IN, SCHERERVILLE 1.4 E, -87.421, 41.485, 657, M, M, M, M, M, M, M
IL, MONEE 4.9 W, -87.848, 41.415, 725, M, M, M, M, 0.57, M, M
IL, ELMWOOD PARK 0.7 ESE, -87.804, 41.918, 641, M, M, M, M, 0.56A, M, M
IL, HOMER 2.0 NW, -87.984, 40.054, 659, M, M, M, M, 0.34, M, M
IL, MIDLOTHIAN 0.1 SSE, -87.723, 41.625, 621, M, M, M, M, 0.42, M, M
IN, HEBRON 6.0 SSW, -87.237, 41.240, 657, M, M, M, M, M, M, M
IL, HOMER GLEN 0.7 NNE, -87.933, 41.608, 757, M, M, M, M, 0.38, 5.7, 21
IL, HARWOOD HEIGHTS 0.4 NNE, -87.803, 41.972, 648, M, M, M, M, 0.70, 13.6, 27
IL, WESTMONT 1.1 SSW, -87.985, 41.783, 754, M, M, M, M, M, M, M
IL, HOOPESTON 0.6 E, -87.660, 40.464, 730, M, M, M, M, 0.44, 5.2, 12
IN, MUNSTER 1.5 NNW, -87.511, 41.568, 597, M, M, M, M, M, 9.7, 14
IL, CISSNA PARK 0.6 S, -87.891, 40.558, 662, M, M, M, M, M, M, M
IL, CRETE 3.3 ENE FRANKTUARY FARM, -87.554, 41.466, 679, M, M, M, M, 0.36, 10.0, 18
IL, BURR RIDGE 1.2 ESE, -87.897, 41.747, 660, M, M, M, M, M, 17.0, M
IL, CRETE 2.7 W, -87.666, 41.446, 751, M, M, M, M, 0.55, M, M
IL, DANVILLE 0.7 NNW, -87.624, 40.154, 647, M, M, M, M, 0.24, M, M
IN, RILEY 0.3 NNW, -87.302, 39.394, 563, M, M, M, M, 0.44, 8.3, 8
IL, CHICAGO HEIGHTS 2.4 NNW, -87.654, 41.543, 643, M, M, M, M, 0.95, 12.6, 28
IL, CRETE 3.7 SSE, -87.584, 41.405, 722, M, M, M, M, M, M, M
IL, ST ANNE 3.2 NNE, -87.703, 41.069, 633, M, M, M, M, 0.39, M, M
IL, MOKENA 3.4 WNW, -87.934, 41.554, 681, M, M, M, M, 0.42, M, M
IL, DANVILLE 4.2 NW, -87.668, 40.193, 696, M, M, M, M, 0.16, 7.0, M
IL, OAK FOREST 0.6 N, -87.751, 41.616, 654, M, M, M, M, 0.65, 8.6, 18
IL, BUFFALO GROVE 1.3 ESE, -87.939, 42.161, 661, M, M, M, M, 0.34, M, M
IN, ST. JOHN 2.8 SE, -87.444, 41.415, 732, M, M, M, M, 0.94, 13.2, M
IL, NEW LENOX 2.0 ESE, -87.951, 41.504, 716, M, M, M, M, 0.39, 4.0, M
IL, KANKAKEE 3.3 E, -87.799, 41.125, 661, M, M, M, M, 1.00, 13.0, M
IL, HOMER 0.6 NNW, -87.964, 40.039, 672, M, M, M, M, 0.03, 9.7, M
IL, BULT FIELD-MONEE 4.9 SE, -87.680, 41.377, 777, M, M, M, M, 0.53, 7.3, 21
IN, TERRE HAUTE 6.5 N, -87.365, 39.564, 518, M, M, M, M, 0.73, 7.8, 10
IN, PORTAGE 2.4 NNW, -87.196, 41.619, 617, M, M, M, M, 0.55, 8.0, 20
IN, GRIFFITH 1.2 N, -87.419, 41.540, 618, M, M, M, M, M, M, M
IN, TERRE HAUTE 6.1 ESE, -87.273, 39.448, 590, M, M, M, M, 0.63, M, M
IL, MORTON GROVE 1.2 WNW, -87.810, 42.051, 657, M, M, M, M, 0.73, M, M
IL, OAK LAWN 0.8 WSW, -87.766, 41.711, 623, M, M, M, M, 1.36, 12.0, 22
IL, EVANSTON 0.8 ESE, -87.679, 42.043, 608, M, M, M, M, 1.00, M, M
IN, LOWELL 3.1 NNW, -87.437, 41.336, 724, M, M, M, M, M, 8.5, 19
IL, CHICAGO 6.8 NW, -87.704, 41.963, 596, M, M, M, M, 0.61, M, M
IL, NEW LENOX 2.1 S, -87.991, 41.489, 685, M, M, M, M, 0.30, M, M
IN, TERRE HAUTE 2.4 E, -87.338, 39.467, 562, M, M, M, M, 0.54, 0.0, M
IL, EVANSTON 0.9 S, -87.698, 42.033, 600, M, M, M, M, 1.00, M, M
IN, TERRE HAUTE 5.3 S, -87.396, 39.394, 505, M, M, M, M, 0.63, M, M
IL, CHEBANSE 0.8 ENE, -87.899, 41.005, 659, M, M, M, M, 0.90, 11.0, M
IL, ARLINGTON HEIGHTS 0.8 NNW, -87.990, 42.105, 717, M, M, M, M, 0.32, M, M
IL, LOMBARD 1.2 E, -87.991, 41.873, 723, M, M, M, M, M, 7.1, M
IL, PARK FOREST 0.7 WNW, -87.700, 41.486, 720, M, M, M, M, M, 6.0, M
IL, EVANSTON 0.6 S, -87.694, 42.038, 604, M, M, M, M, 0.53, 16.3, M
IL, MOUNT PROSPECT 1.3 SSE, -87.924, 42.050, 653, M, M, M, M, 0.21, M, M
IN, HOBART 1.1 S, -87.267, 41.516, -, M, M, M, M, 0.75, M, M
IN, GARY 5.9 ENE, -87.235, 41.622, 611, M, M, M, M, 0.62, M, M
IL, DES PLAINES 1.8 NNW, -87.911, 42.059, 660, M, M, M, M, 0.23, M, M
IL, MERRIONETTE PARK 1.7 NE, -87.674, 41.696, 664, M, M, M, M, 0.58, M, M
IL, FRANKLIN PARK 0.5 SSE, -87.874, 41.929, 638, M, M, M, M, 0.53, 5.6, 20
IL, GEORGETOWN 0.5 NNW, -87.640, 39.983, 673, M, M, M, M, 0.36, 7.5, M
IL, LA GRANGE 0.3 ENE, -87.867, 41.810, 639, M, M, M, M, 0.50, 11.0, 26
IL, CHICAGO WAUKEGAN REGIONAL AP, -87.863, 42.425, 710, 21, 7, 14.0, M, M, M, M
WI, KENOSHA WWTP, -87.816, 42.561, 595, 19, 7, 13.0, 10, 0.14, 5.5, 24
WI, RACINE WWTP, -87.786, 42.703, 592, 14, -2, 6.0, 10, 0.38, 11.8, 24
WI, RACINE BATTEN AIRPORT, -87.818, 42.759, 668, 21, 8, 14.5, M, 0.31, M, M
WI, PLYMOUTH WWTP, -87.971, 43.730, 828, 6, -9, -1.5, 6, 0.03, T, 11
WI, SHEBOYGAN COUNTY MEMORIAL AP, -87.849, 43.775, 751, 18, -6, 6.0, M, T, M, M
WI, KENOSHA REGIONAL AP, -87.938, 42.595, 733, 21, 3, 12.0, M, M, M, M
WI, MILWAUKEE MITCHELL AIRPORT, -87.904, 42.955, 667, 22, 6, 14.0, M, 0.29, 5.9, 22
WI, HINGHAM WWTP, -87.910, 43.641, 763, 9, -9, 0.0, 9, 0.13, 2.0, 19
WI, OOSTBURG WWTP, -87.800, 43.631, 678, M, M, M, M, 0.25, 3.0, 15
WI, SOUTH MILWAUKEE WWTP, -87.850, 42.901, 643, 9, -4, 2.5, 9, 0.64, 13.0, 25
WI, SHEBOYGAN WWTP, -87.709, 43.718, 603, 5, -13, -4.0, 5, 0.47, 5.0, 15
WI, GRAFTON WWTP, -87.955, 43.308, 730, 9, -7, 1.0, 9, 0.13, 1.8, 17
WI, BELGIUM WWTP, -87.855, 43.513, 731, 6, -4, 1.0, 6, 0.13, 3.5, 19
WI, SAUKVILLE WWTP, -87.940, 43.375, 759, 7, -9, -1.0, 7, 0.11, 1.1, 16
IL, LINCOLNSHIRE 0.9 N, -87.919, 42.208, 686, M, M, M, M, M, M, M
IL, LAKE BLUFF 1.3 W, -87.876, 42.282, 705, M, M, M, M, 0.42, M, M
IL, BANNOCKBURN 0.5 ESE, -87.860, 42.190, 673, M, M, M, M, 0.47, 6.7, M
IL, BUFFALO GROVE 1.5 N, -87.959, 42.188, 699, M, M, M, M, 0.18, 3.5, 17
IL, WAUKEGAN 2.2 N, -87.864, 42.402, 718, M, M, M, M, 0.42, 6.0, 11
IL, LAKE FOREST 2.1 NNE, -87.846, 42.266, 712, M, M, M, M, M, M, M
IL, GURNEE 1.6 W, -87.967, 42.378, 761, M, M, M, M, 0.23, 2.3, 18
WI, KENOSHA 1.7 S, -87.857, 42.560, 652, M, M, M, M, 0.15, 5.0, 16
WI, SHOREWOOD 0.6 NW, -87.893, 43.098, 663, M, M, M, M, 0.21, 4.0, 15
WI, MILWAUKEE 3.6 NNW, -87.987, 43.113, 676, M, M, M, M, 0.28, 3.5, 31
WI, RACINE 2.3 WSW, -87.846, 42.711, 717, M, M, M, M, 0.65, 13.0, 29
IL, HIGHWOOD 0.9 S, -87.814, 42.198, 689, M, M, M, M, M, 14.1, 36
WI, GREENDALE 1.0 ENE, -87.982, 42.941, 802, M, M, M, M, M, M, M
WI, CEDAR GROVE 0.4 NNE, -87.820, 43.572, 691, M, M, M, M, M, M, M
WI, ELKHART LAKE 6.8 NE, -87.913, 43.899, 901, M, M, M, M, 0.03, 0.4, M
WI, RANDOM LAKE 0.5 SSE, -87.951, 43.548, 892, M, M, M, M, T, 0.3, 15
WI, SHEBOYGAN 3.2 NW, -87.766, 43.785, 680, M, M, M, M, 0.09, 1.8, 13
WI, PLEASANT PRAIRIE 3.8 NW, -87.938, 42.560, 699, M, M, M, M, 0.37, 5.0, M
WI, PORT WASHINGTON 4.2 NE, -87.825, 43.439, 693, M, M, M, M, 0.23, 4.0, M
IL, LIBERTYVILLE 1.8 ESE, -87.933, 42.274, 668, M, M, M, M, 0.37, M, M
WI, PORT WASHINGTON 0.5 S, -87.879, 43.386, 659, M, M, M, M, 0.16, 2.3, 18
WI, BROWN DEER 0.8 NW, -87.984, 43.184, 679, M, M, M, M, 0.15, 1.6, 18
WI, WAUWATOSA 1.9 E, -87.996, 43.059, 715, M, M, M, M, 0.31, 3.5, 22
WI, PLYMOUTH 5.4 NE, -87.911, 43.812, 849, M, M, M, M, 0.04, 0.5, M
WI, RACINE 2.4 S, -87.812, 42.694, 635, M, M, M, M, 0.36, M, M
WI, SHEBOYGAN 0.7 SSW, -87.735, 43.736, 695, M, M, M, M, 0.16, 4.1, 16
WI, ELMWOOD PARK 1.8 SW, -87.849, 42.675, 692, M, M, M, M, 0.57, 11.0, M
WI, SHEBOYGAN 1.7 NNE, -87.712, 43.766, 630, M, M, M, M, 0.35, 4.0, 15
WI, PLEASANT PRAIRIE 3.3 NW, -87.925, 42.559, 713, M, M, M, M, M, M, M
WI, RACINE 1.4 NNW, -87.817, 42.747, 656, M, M, M, M, 0.59, 12.5, M
WI, SHEBOYGAN FALLS 0.9 ENE, -87.806, 43.733, 708, M, M, M, M, 0.19, 1.2, M
WI, SAUKVILLE 0.9 SSW, -87.950, 43.373, 767, M, M, M, M, 0.23, 1.9, 14
WI, SHEBOYGAN 0.6 NNE, -87.724, 43.753, 585, M, M, M, M, 0.15, 4.0, 13
WI, KENOSHA 3.8 WSW, -87.926, 42.569, 732, M, M, M, M, 0.33, 3.5, M
IL, LIBERTYVILLE 0.8 ENE, -87.953, 42.289, 698, M, M, M, M, M, M, M
WI, RACINE 5.9 N, -87.815, 42.813, 652, M, M, M, M, 0.50, 10.1, M
WI, RACINE 2.6 NNE, -87.781, 42.761, 613, M, M, M, M, 0.68, M, M
WI, KENOSHA 1.4 SE, -87.838, 42.568, 645, M, M, M, M, 0.17, 3.1, M
WI, RACINE 2.1 NNE, -87.787, 42.754, 639, M, M, M, M, 0.36, 14.0, 24
IN, CORYDON, -86.118, 38.218, 715, M, M, M, M, 0.36, M, M
IN, DUBOIS SRN IN FORAGE FARM, -86.698, 38.456, 690, 18, 1, 9.5, 3, 0.33, 5.0, 6
IN, SHOALS 8 S, -86.794, 38.553, 477, 18, 5, 11.5, 8, 0.55, 4.5, 6
IN, MADISON SEWAGE PLANT, -85.394, 38.737, 460, M, M, M, M, M, M, M
IN, WILLIAMS 3 SW, -86.685, 38.767, 547, M, M, M, M, 0.79, 5.1, 5
IN, OOLITIC PURDUE EX FRM, -86.552, 38.889, 649, 17, 8, 12.5, 9, 0.47, 4.0, 7
IN, NORTH VERNON 2 ESE, -85.600, 39.001, 719, 22, 9, 15.5, 19, 0.41, 4.3, 10
IN, ELLISTON, -86.937, 39.031, 669, M, M, M, M, 0.31, 8.0, 10
IN, BLOOMINGTON MONROE COUNTY AP, -86.617, 39.143, 831, 19, -3, 8.0, M, T, M, M
IN, BLOOMINGTON INDIANA UNIV, -86.521, 39.174, 830, 16, 9, 12.5, 9, 0.63, 5.0, 7
IN, COLUMBUS, -85.923, 39.166, 609, 18, 10, 14.0, 11, 0.57, 6.0, 8
IN, SPENCER, -86.770, 39.284, 549, 15, 9, 12.0, 9, 0.39, 9.0, 10
KY, LEXINGTON BLUE GRASS ARPT, -84.606, 38.041, 980, 20, 3, 11.5, M, 0.05, 2.5, 2
KY, TAYLORSVILLE 2SW, -85.371, 38.014, 498, M, M, M, M, M, 1.0, 5
KY, SHEPHERDSVILLE 5NE, -85.624, 38.054, 615, M, M, M, M, 0.59A, 4.0, 0
KY, FRANKFORT CAPITAL CITY AP, -84.904, 38.185, 777, 20, 1, 10.5, M, T, M, M
KY, GEORGETOWN WATER WKS, -84.562, 38.209, 805, M, M, M, M, 0.00, M, M
KY, LOUISVILLE MCALPINE, -85.792, 38.278, 440, 21, 15, 18.0, 15, 0.25, M, M
KY, WARSAW MARKLAND DAM, -84.967, 38.774, 451, 20, 6, 13.0, 14, 0.20, M, M
KY, CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT, -84.672, 39.044, 861, 20, 5, 12.5, M, 0.03, 0.6, 8
KY, DRY RIDGE 5 NNW, -84.606, 38.758, 923, M, M, M, M, S, M, M
KY, TAYLORSVILLE LAKE, -85.309, 38.001, 700, 26, 15, 20.5, 17, 0.53, 2.0, 4
OH, CINCINNATI MUNICIPAL AP LUNKEN FIELD, -84.416, 39.106, 475, 21, 3, 12.0, M, M, M, M
OH, HAMILTON BUTLER COUNTY REGIONAL AP, -84.521, 39.361, 606, 22, -4, 9.0, M, T, M, M
OH, MIAMITOWN, -84.695, 39.216, 482, M, M, M, M, 0.53, M, M
KY, LOUISVILLE WFO, -85.644, 38.115, 632, 15, 5, 10.0, 5, 0.02, 0.8, 3
OH, FAIRFIELD, -84.590, 39.348, 575, 22, 14, 18.0, 15, M, 4.0, 5
KY, VERSAILLES 3 NNW, -84.746, 38.095, 891, 20, 2, 11.0, M, 0.01, M, M
KY, LOUISVILLE BOWMAN FIELD, -85.663, 38.230, 540, 17, 7, 12.0, M, T, M, M
